,Player,enterYear,retireYear,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,TS%,3PAr,FTr,WS/48,FG%,3P%,2P%,eFG%,FT%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,MP_PG,FG_PG,FGA_PG,3P_PG,3PA_PG,2P_PG,2PA_PG,FT_PG,FTA_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,PF_PG,PTS_PG
3359,Scotty Hopson,2014,2014,SG,2,0,7,0,4,0,2,0,2,1,2,0,0,0,1,1,0,0,0,1,-6.5,-0.1,0.0,-0.1,-12.9,-4.3,-17.2,0.0,0.102,0.5,0.5,-0.412,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.188,0.074,0.0,0.0,0.311,3.5,0.0,2.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
3360,Sean Colson,2001,2001,PG,26,0,88,12,48,2,10,10,38,4,8,4,8,12,20,2,0,4,12,30,3.7,-0.1,0.0,-0.1,-5.6,-3.0,-8.5,-0.0,0.217,0.206,0.126,-0.17,0.189,0.15,0.199,0.204,0.5,0.044,0.127,0.085,0.37,0.01,0.0,0.119,0.277,3.4,0.5,1.8,0.1,0.4,0.4,1.5,0.2,0.3,0.2,0.3,0.5,0.8,0.1,0.0,0.2,0.5,1.2
3361,Sean Elliott,1990,2001,SF,742,712,24502,3852,8290,589,1572,3263,6718,2251,2816,819,2385,3204,1897,576,284,1328,1626,10544,13.1,2.6,2.0,4.6,0.1,0.0,0.2,1.3,0.538,0.215,0.326,0.1,0.448,0.335,0.465,0.487,0.786,0.035,0.11,0.074,0.12,0.012,0.008,0.125,0.191,33.0,5.2,11.2,0.8,2.1,4.4,9.1,3.0,3.8,1.1,3.2,4.3,2.6,0.8,0.4,1.8,2.2,14.2
3362,Sean Green,1992,1994,SG,120,0,1005,216,579,25,102,191,477,44,68,46,73,119,61,51,19,90,84,501,5.2,-0.6,0.1,-0.5,-7.5,-4.0,-11.4,-0.3,0.348,0.139,0.089,-0.162,0.318,0.247,0.342,0.336,0.682,0.044,0.062,0.053,0.093,0.018,0.009,0.104,0.291,8.4,1.8,4.8,0.2,0.8,1.6,4.0,0.4,0.6,0.4,0.6,1.0,0.5,0.4,0.2,0.8,0.7,4.2
3363,Sean Higgins,1991,1998,SF,258,39,3950,686,1582,99,315,587,1267,195,229,144,360,504,267,89,38,280,409,1666,6.8,-0.2,0.2,0.1,-4.9,-1.3,-6.3,-0.4,0.425,0.2,0.168,-0.044,0.362,0.208,0.384,0.384,0.872,0.039,0.101,0.07,0.101,0.023,0.004,0.152,0.221,15.3,2.7,6.1,0.4,1.2,2.3,4.9,0.8,0.9,0.6,1.4,2.0,1.0,0.3,0.1,1.1,1.6,6.5
3364,Sean Kilpatrick,2015,2017,SG,136,24,3058,558,1295,187,549,371,746,328,380,47,351,398,219,73,10,200,195,1631,12.7,0.5,0.2,0.7,0.1,-3.4,-3.4,-0.1,0.551,0.538,0.279,0.053,0.413,0.317,0.592,0.494,0.902,0.019,0.092,0.055,0.09,0.013,0.002,0.109,0.205,22.5,4.1,9.5,1.4,4.0,2.7,5.5,2.4,2.8,0.3,2.6,2.9,1.6,0.5,0.1,1.5,1.4,12.0
3365,Sean Lampley,2003,2004,SF,45,0,550,69,149,0,4,69,145,65,94,28,66,94,33,7,4,28,45,203,17.0,0.3,0.2,0.6,-1.2,-2.0,-3.2,-0.0,0.592,0.015,0.618,0.137,0.542,0.0,0.549,0.542,0.681,0.048,0.15,0.098,0.087,0.004,0.008,0.119,0.195,12.2,1.5,3.3,0.0,0.1,1.5,3.2,1.4,2.1,0.6,1.5,2.1,0.7,0.2,0.1,0.6,1.0,4.5
3366,Sean Marks,1999,2011,C,230,11,2275,259,578,5,25,254,553,115,173,158,343,501,50,33,87,116,342,638,9.3,-0.0,0.3,0.2,-5.8,-0.9,-6.6,-0.2,0.495,0.057,0.357,0.039,0.446,0.181,0.464,0.45,0.678,0.069,0.168,0.119,0.029,0.012,0.031,0.157,0.189,9.9,1.1,2.5,0.0,0.1,1.1,2.4,0.5,0.8,0.7,1.5,2.2,0.2,0.1,0.4,0.5,1.5,2.8
3367,Sean May,2006,2010,C,119,25,1868,324,708,3,13,321,695,170,228,155,326,481,115,53,47,134,236,821,13.1,0.1,0.5,0.6,-3.6,-0.1,-3.8,-0.0,0.488,0.021,0.302,0.043,0.442,0.417,0.447,0.444,0.723,0.091,0.204,0.147,0.095,0.016,0.018,0.15,0.224,15.7,2.7,5.9,0.0,0.1,2.7,5.8,1.4,1.9,1.3,2.7,4.0,1.0,0.4,0.4,1.1,2.0,6.9
3368,Sean Rooks,1993,2004,C,869,237,15272,1908,4161,3,30,1905,4131,1422,2034,1048,2181,3229,707,292,551,906,1887,5241,11.1,0.5,0.7,1.1,-3.3,-0.2,-3.5,-0.2,0.504,0.009,0.483,0.056,0.444,0.068,0.447,0.444,0.734,0.078,0.163,0.12,0.073,0.01,0.026,0.152,0.169,17.6,2.2,4.8,0.0,0.0,2.2,4.8,1.6,2.3,1.2,2.5,3.7,0.8,0.3,0.6,1.0,2.2,6.0
3369,Sean Singletary,2009,2009,PG,74,4,606,62,170,20,50,42,120,36,42,20,50,70,58,22,0,46,90,180,6.9,-0.1,0.2,0.0,-3.4,-1.3,-4.7,-0.1,0.473,0.292,0.241,0.008,0.362,0.4,0.347,0.42,0.886,0.042,0.098,0.071,0.142,0.02,0.0,0.185,0.176,8.2,0.8,2.3,0.3,0.7,0.6,1.6,0.5,0.6,0.3,0.7,0.9,0.8,0.3,0.0,0.6,1.2,2.4
3370,Sean Williams,2008,2012,C,148,29,2085,243,470,0,1,243,469,135,210,196,301,497,52,51,170,130,342,621,14.3,0.1,0.5,0.6,-2.8,3.0,0.1,0.0,0.598,0.003,0.567,0.117,0.517,0.0,0.519,0.517,0.753,0.122,0.146,0.134,0.055,0.018,0.061,0.233,0.155,14.1,1.6,3.2,0.0,0.0,1.6,3.2,0.9,1.4,1.3,2.0,3.4,0.4,0.3,1.1,0.9,2.3,4.2
3371,Sebastian Telfair,2005,2015,PG,666,196,13788,1737,4463,427,1339,1310,3124,821,1056,169,858,1027,2239,474,91,973,1371,4722,11.0,0.0,0.4,0.4,-1.6,-2.4,-4.0,-0.5,0.479,0.335,0.226,0.028,0.388,0.299,0.424,0.439,0.78,0.013,0.076,0.044,0.261,0.018,0.005,0.162,0.199,20.7,2.6,6.7,0.6,2.0,2.0,4.7,1.2,1.6,0.3,1.3,1.5,3.4,0.7,0.1,1.5,2.1,7.1
3372,Sedale Threatt,1984,1997,SG,1090,312,24937,4369,9034,198,701,4171,8333,1463,1798,420,1485,1905,4032,1272,157,1448,2442,10399,14.1,1.8,1.1,3.0,-0.1,-1.2,-1.4,0.4,0.52,0.09,0.193,0.098,0.474,0.23,0.491,0.487,0.805,0.022,0.067,0.044,0.23,0.025,0.004,0.131,0.189,22.9,4.0,8.3,0.2,0.6,3.8,7.6,1.3,1.6,0.4,1.4,1.7,3.7,1.2,0.1,1.3,2.2,9.5
3373,Sedric Toney,1986,1994,PG,189,18,2608,254,697,57,164,197,533,188,242,39,144,183,435,87,1,209,289,753,3.6,-0.2,0.1,0.0,-6.3,-3.3,-9.6,-0.3,0.415,0.223,0.302,-0.081,0.338,0.273,0.378,0.364,0.744,0.028,0.073,0.051,0.167,0.014,0.0,0.228,0.185,13.8,1.3,3.7,0.3,0.9,1.0,2.8,1.0,1.3,0.2,0.8,1.0,2.3,0.5,0.0,1.1,1.5,4.0
3374,Semaj Christon,2017,2017,PG,64,1,973,77,223,12,63,65,160,17,31,19,69,88,130,28,6,43,79,183,5.7,-0.7,0.8,0.1,-5.0,-1.3,-6.3,-1.1,0.387,0.283,0.139,0.006,0.345,0.19,0.406,0.372,0.548,0.022,0.079,0.05,0.181,0.014,0.005,0.154,0.122,15.2,1.2,3.5,0.2,1.0,1.0,2.5,0.3,0.5,0.3,1.1,1.4,2.0,0.4,0.1,0.7,1.2,2.9
3375,Semih Erden,2011,2012,C,110,25,1523,163,296,0,0,163,296,99,161,94,214,308,49,40,53,84,268,425,9.3,0.2,0.6,0.8,-3.7,1.1,-2.6,0.0,0.536,0.0,0.52,0.075,0.493,,0.493,0.493,0.656,0.082,0.15,0.117,0.044,0.015,0.027,0.166,0.138,13.8,1.5,2.7,0.0,0.0,1.5,2.7,0.9,1.5,0.9,1.9,2.8,0.4,0.4,0.5,0.8,2.4,3.9
3376,Serge Ibaka,2010,2017,PF,682,571,19943,3500,6852,430,1146,3070,5706,970,1265,1525,3426,4951,459,306,1548,881,1921,8400,16.9,2.9,2.8,5.8,-0.9,1.2,0.3,1.3,0.566,0.162,0.189,0.135,0.511,0.345,0.534,0.542,0.775,0.088,0.189,0.14,0.036,0.008,0.059,0.109,0.185,29.2,5.1,10.0,0.6,1.7,4.5,8.4,1.4,1.9,2.2,5.0,7.3,0.7,0.4,2.3,1.3,2.8,12.3
